volcano,sensor_bucket,ventana_dias,n_ours_vrp_gt_0,n_mirova_vrp_gt_0,n_matched,n_only_ours_FP,n_only_mirova_FN,ratio_median,ratio_p25,ratio_p75,p_value_wilcoxon,max_ours,max_mirova
Isluga,VIIRS,90d,318,19,13,305,6,3.094444444444445,2.026315789473684,6.981481481481481,0.004638671875,29.496,1.68
Isluga,VIIRS,all,386,21,13,373,8,3.016666666666667,2.0473684210526315,6.981481481481481,0.000244140625,46.912,1.68
Tupungatito,MODIS,7d,0,0,0,0,0,,,,,0.0,0.0
Tupungatito,MODIS,30d,2,0,0,2,0,,,,,318.476,0.0
Tupungatito,MODIS,90d,6,0,0,6,0,,,,,318.476,0.0
Tupungatito,MODIS,all,6,0,0,6,0,,,,,318.476,0.0
Tupungatito,VIIRS375,7d,0,14,0,0,36,,,,,0.0,0.71
Tupungatito,VIIRS375,30d,0,34,0,0,153,,,,,0.0,1.65
Tupungatito,VIIRS375,90d,0,94,0,0,403,,,,,0.0,47.27
Tupungatito,VIIRS375,all,0,105,0,0,438,,,,,0.0,47.27
Tupungatito,VIIRS,7d,25,1,0,25,1,,,,,8.994,0.19
Tupungatito,VIIRS,30d,123,2,1,122,1,22.76666666666667,22.76666666666667,22.76666666666667,,13.492,0.24
Tupungatito,VIIRS,90d,329,10,4,325,6,16.655333333333335,8.04159375,23.3275,,19.781,0.32
Tupungatito,VIIRS,all,380,11,5,375,6,16.194117647058825,10.544,22.76666666666667,,19.781,0.34
